Irradiance (W/m²),Module temperature (°C),Efficiency
721.7999999999998,26.618,0.0811642211871436
575.83,40.985,0.0863432297107822
1033.2,50.114,0.08667080928106066
207.74,9.4054,0.09058072566799545
87.45699999999998,23.213,0.05999609323136627
506.26,36.818,0.0768857124712401
103.48,13.587,0.07880023023081872
1039.4,36.752,0.09220627699633208
1041.8,24.643,0.09185861093327505
570.15,24.142,0.0910049081899075
972.0,22.313,0.08727588388683383
866.9099999999999,35.508,0.09136011190609815
76.56699999999998,-0.1867,0.06985747718272427
605.04,38.004,0.08988456079308173
1100.9,41.498,0.09380864098796912
27.58,29.046,0.05348716930020403
1163.4,29.184,0.08660327301382595
991.08,56.023,0.07224910352854716
1018.0,36.344,0.08669477787719922
293.77,10.011,0.079210908686525
182.42,28.099,0.09831444656686163
691.23,24.321,0.0971283111070574
976.82,49.538,0.08509729631490354
184.51,33.337,0.07058041950832554
1190.9,53.91,0.07817954479154446
63.839,9.1246,0.05866524448836393
434.0,21.338,0.07854917965475029
678.4,27.308,0.0942614298336839
116.48,28.789,0.08854852151578219
1028.3,47.797,0.08205416227596968
771.1,21.521,0.08934228490330037
1188.7,26.366,0.09441023429252342
132.51,8.0235,0.08245903952138606
671.78,37.123,0.07805527377908253
944.27,48.52,0.07621338960860667
194.58,32.833,0.08500142506774024
211.31,7.1559,0.08978781211350198
1048.6,23.649,0.08579315471167961
1012.5,56.858,0.08631435690421739
1298.4,37.918,0.09611114983815076
441.21,19.249,0.0868274942172222
824.87,48.818,0.08833350128019521
690.31,50.266,0.08208231977893643
1059.2,42.718,0.08932450485349373
163.79,18.843,0.0544347784239606
87.914,8.6826,0.07692029134338146
47.002,16.147,0.05021168738831916
75.703,33.316,0.08074392009575186
25.485,12.473,0.04707026007920442
116.7,36.297,0.08421251497263288
320.28,14.317,0.0657811277958144
684.4,41.307,0.07066486494472882
870.9,48.396,0.09051042414502111
405.09,33.788,0.0809037775082895
602.53,28.913,0.09966814266647112
48.571,25.346,0.060942738066454824
346.75,28.854,0.08009965247722399
1100.9,41.384,0.07677853296912593
801.3099999999998,52.461,0.07980922122742619
627.06,27.111,0.09971477152622818
313.82,31.628,0.08566550076892943
806.2,27.495,0.09092298877647671
27.899,12.771,0.04878172904996678
237.79,11.46,0.09644689398564035
47.855,-1.1653,0.04929243233429415
1012.8,40.554,0.08726264854209263
720.46,51.794,0.08406702541967392
224.48,15.622,0.08397359987877497
111.69,23.942,0.07652463858489975
553.2,37.956,0.08260569780644071
53.864,29.124,0.06674266555440175
832.4,58.165,0.08479716926554924
933.92,60.239,0.07564512820702153
54.396,19.28,0.049799802751153026
549.99,23.71,0.08113925169735406
703.46,35.119,0.0953866666437303
138.56,33.917,0.04705674325655202
126.9,28.538,0.08684244816542389
544.02,36.547,0.08400266481755984
394.83,23.528,0.0878448854049447
203.86,27.239,0.05907941096554687
334.8,17.218,0.09048458642726252
1023.3,40.982,0.08652114800976453
443.38,29.796,0.07683694616031836
979.13,27.538,0.08619169256752283
658.48,31.289,0.09297303921580968
320.2,20.595,0.09855785844580664
350.7,17.887,0.07696406370256349
798.2799999999999,52.992,0.07457911841582486
202.25,24.686,0.09190022934076186
64.776,4.6979,0.06242047253307276
607.83,40.345,0.07243366047114716
998.31,36.892,0.08587243481682967
488.13,37.466,0.08940129261286225
302.69,24.162,0.07172596890128585
65.654,2.3572,0.058727545935819386
389.91,36.087,0.08891082359820292
656.44,17.798,0.08537176617535118
1030.1,45.617,0.08441316296588315
221.31,-3.9628,0.06901600860175863
763.19,39.644,0.08662247589290935
656.02,26.126,0.09637920912345206
981.47,33.492,0.08336151439003525
419.65,19.426,0.0821239691730953
622.95,50.888000000000005,0.07504897871899231
101.49,9.7704,0.07510554405336452
98.219,26.379,0.0696946390599925
1002.2,32.525,0.08339713136693969
517.93,30.081,0.0867875098031423
711.49,33.216,0.08943017891213942
211.86,23.028,0.06447736267908157
324.33,13.525,0.09756605057173622
823.58,34.459,0.09701411042147698
568.07,32.711,0.07723346726289278
119.0,11.166,0.08158887259835555
1158.9,41.538,0.09002921121773412
880.27,34.414,0.0941861492587012
426.18,40.501,0.08188279354149101
123.04,28.828,0.07678121919791851
98.254,8.9929,0.05850344275872313
418.11,34.363,0.08252160475499525
1132.5,29.23,0.09214254283045571
437.13,38.056,0.08913962204341397
790.5,50.929,0.08995549879644651
708.78,33.232,0.09429767114875878
309.53,22.961,0.09162455024354199
125.97,15.53,0.04661514175896411
930.75,32.318,0.09003963778881939
996.85,32.53,0.08992270949803527
58.054,27.723,0.07459936517369377
127.29,6.9219,0.08632893871631837
300.12,30.325,0.09328772980378232
138.82,28.738,0.07572558309684141
39.64,27.63,0.06044872146040431
987.66,36.984,0.09279867900602091
1030.6,44.197,0.09138513175246091
937.75,45.532,0.08262628791460282
874.08,50.018,0.08089021279346063
30.027,19.665,0.050936337155656465
156.37,1.7424,0.0836794556865284
369.05,24.305,0.0846608711236661
89.14799999999998,31.678,0.07283389722936091
960.9,50.914,0.08752500429452169
295.91,19.551,0.07720394930286133
96.179,25.957,0.0759195343938556
948.23,40.621,0.08491577469534826
47.384,12.304,0.05266509373400133
949.06,43.226,0.09159498225430186
79.69199999999998,11.612,0.06651280866894944
601.3,32.269,0.08242811937583228
1033.5,55.302,0.08577951512840361
756.83,53.946,0.08024834582928042
42.943,22.518,0.06455612635216805
1029.7,53.45,0.08047278465303648
267.66,23.595,0.09544740082727687
972.45,34.693,0.09329553014816376
1037.6,47.669,0.08054386721117719
1115.8,49.254,0.08839613532096377
1003.6,56.521,0.08273571958190465
282.35,40.72,0.07322945461507971
87.98,19.393,0.05786173570887479
476.06,23.502,0.08174224818412512
141.77,18.513,0.08592450295609931
40.365,26.224,0.05582092826908048
177.86,38.369,0.08437560537493018
517.83,15.901,0.0850788123049662
963.22,35.53,0.09190922356342532
248.6,38.374,0.08333447246561682
113.1,6.4788,0.0800116375233914
1000.5,43.791,0.07720300645367328
877.71,44.081,0.08129979843423592
482.41,26.303,0.09247326757225535
332.12,16.362,0.08079055503433244
